accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1154.70828,862.46226,438.827895,26608.16023,-24121.52338,246497.9047
-560.641257,1034.913924,375.637086,85834.80802,-60189.21689,286685.1648
-81.739152,612.615366,88.265232,38021.47961,-53095.99933,136043.1
-95.95377,621.823257,133.652079,1747.52129,-13258.24349,29066.14919
46.60029,819.033237,60.203088,-11888.87435,18655.50597,-56613.96022
-1019.59803,16.896429,267.599871,-6222.321708,-681.819782,-7150.513344
-1002.518055,-13.35807,213.555771,3781.52148,10307.51082,-1506.879014
-982.389177,-6.403716,188.909622,-784.952186,-1976.70441,-693.278938
-923.521896,50.689287,203.858424,-5127.97231,-2601.228412,27668.13216
-1305.92979,544.72374,336.653955,-13430.13083,-8004.220466,175009.96
-1068.400872,1076.813397,519.098679,13991.62948,12599.34202,286685.1648
-353.550384,810.070074,181.659555,82162.14852,-63340.48479,266385.27
-51.851745,556.613442,79.485615,35007.72158,-68646.07402,142408.6612
102.17394,756.566415,-79.118523,5993.138588,-25565.37704,63403.51015
135.293796,959.394942,52.524747,-9247.538892,5655.093486,-26247.19682
-958.293666,-0.061182,256.86243,-3202.834102,1094.349398,18558.10314
-982.144449,43.857297,337.632867,7104.67672,-733.385984,1804.81707
-994.462425,-6.22017,292.796658,1312.073362,-744.84514,-10238.75589
-978.850818,-31.049865,274.860135,-1231.85927,-1094.349398,-1191.752224
-1019.720394,258.942618,174.766383,2807.49322,360.963414,86677.05598
-1242.60642,986.845266,674.286822,18552.37356,3122.62001,286685.1648
-659.888658,708.864849,255.343077,86224.41932,-27072.25605,286685.1648
-116.939196,536.729292,115.470828,53594.47261,-37729.27113,167011.4691
-15.071166,735.285276,48.374568,17429.37628,-48437.85241,77234.71144
36.964125,876.554514,-38.983131,-5145.161044,-13223.86602,33076.85379
78.200793,926.754345,66.606804,-10427.83196,6142.107616,-58264.07868
-1013.37786,-55.757196,275.349591,2257.453732,-9092.840286,9115.758598
-997.093251,-15.19353,265.22397,252.101432,-6669.228792,5414.45121
-1012.398948,-25.380333,276.817959,2142.862172,-45.836624,-1140.186022
-988.609347,-32.446854,275.961411,1896.490318,-865.166278,-2091.29597
-988.609347,-15.917517,252.600084,194.805652,-166.157762,-412.529616
