accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1023.992937,-19.088784,24.646149,-166.157762,-446.907084,-1426.664922
-1025.8182,-19.88415,20.373606,-183.346496,229.18312,-1312.073362
-1024.788303,-20.924244,21.352518,-360.963414,303.667634,-1323.532518
-1024.665939,-21.536064,23.055417,-17.188734,-200.53523,-1495.419858
-1023.625845,-22.382415,22.321233,120.321138,-97.402826,-1506.879014
-1025.328744,-22.137687,21.536064,-217.723964,366.692992,-1294.884628
-1024.849485,-22.260051,20.679516,-194.805652,45.836624,-1443.853656
-1024.543575,-20.863062,22.260051,-154.698606,-349.504258,-1443.853656
-1023.258753,-20.557152,24.890877,-217.723964,-120.321138,-1443.853656
-1024.421211,-18.905238,20.80188,-246.371854,-34.377468,-1346.45083
-1024.360029,-19.211148,21.536064,-148.969028,-11.459156,-1375.09872
-1024.788303,-18.670707,20.863062,-80.214092,-194.805652,-1426.664922
-1024.604757,-20.312424,21.597246,-103.132404,-229.18312,-1495.419858
-1024.788303,-18.303615,20.985426,-137.509872,-34.377468,-1375.09872
-1026.43002,-19.27233,20.373606,-177.616918,-120.321138,-1398.017032
-1024.604757,-18.844056,22.260051,-183.346496,-148.969028,-1380.828298
-1025.267562,-19.149966,21.046608,-194.805652,-366.692992,-1541.256482
-1024.604757,-21.352518,21.230154,-229.18312,349.504258,-1392.287454
-1024.298847,-22.086702,22.321233,-166.157762,-120.321138,-1524.067748
-1025.084016,-21.658428,21.780792,-200.53523,-148.969028,-1529.797326
-1025.328744,-21.230154,19.517058,-166.157762,-51.566202,-1426.664922
-1024.665939,-21.230154,22.382415,-315.12679,-131.780294,-1443.853656
-1024.961652,-19.700604,21.841974,-137.509872,-183.346496,-1472.501546
-1024.788303,-19.945332,21.352518,-166.157762,-85.94367,-1392.287454
-1024.298847,-18.670707,22.504779,-166.157762,-45.836624,-1363.639564
-1025.389926,-20.312424,22.504779,-183.346496,17.188734,-1443.853656
-1024.421211,-20.679516,23.422509,-131.780294,17.188734,-1357.909986
-1024.849485,-19.333512,22.086702,-177.616918,-584.416956,-1529.797326
-1023.809391,-20.312424,22.137687,-183.346496,-114.59156,-1398.017032
-1025.022834,-20.679516,21.903156,-148.969028,63.025358,-1432.3945
-1024.788303,-21.658428,22.810689,-177.616918,0,-1432.3945
-1025.20638,-22.260051,21.10779,-183.346496,-114.59156,-1472.501546
-1025.20638,-23.238963,22.260051,-166.157762,-17.188734,-1398.017032
-1025.389926,-21.4137,22.565961,-229.18312,217.723964,-1432.3945
-1026.001746,-20.985426,22.994235,-183.346496,366.692992,-1357.909986
-1023.625845,-20.251242,25.257969,-137.509872,-85.94367,-1415.205766
-1023.992937,-19.27233,22.871871,-234.912698,-378.152148,-1461.04239
-1024.482393,-19.027602,25.920774,-183.346496,-183.346496,-1432.3945
-1025.389926,-20.19006,21.230154,-148.969028,194.805652,-1346.45083
-1024.054119,-19.027602,21.964338,-166.157762,-11.459156,-1392.287454
-1023.075207,-19.88415,22.688325,-200.53523,-492.743708,-1461.04239
-1023.442299,-19.455876,21.780792,-63.025358,-280.749322,-1478.231124
-1024.849485,-19.822968,24.952059,-45.836624,-515.66202,-1472.501546
-1024.961652,-20.128878,23.177781,-148.969028,246.371854,-1426.664922
-1025.389926,-22.137687,24.646149,-154.698606,28.64789,-1455.312812
-1024.054119,-22.321233,23.116599,-131.780294,-183.346496,-1478.231124
-1024.115301,-22.382415,24.217875,-148.969028,-263.560588,-1506.879014
-1024.298847,-22.260051,21.597246,-211.994386,34.377468,-1398.017032
-1024.961652,-20.49597,23.667237,-114.59156,-211.994386,-1415.205766
-1023.870573,-20.006514,21.658428,-131.780294,-252.101432,-1461.04239
-1024.421211,-19.27233,22.994235,-154.698606,-85.94367,-1392.287454
-1025.573472,-20.251242,20.128878,-103.132404,-137.509872,-1415.205766
-1023.748209,-20.985426,23.238963,-194.805652,-177.616918,-1398.017032
-1025.940564,-20.49597,21.658428,-103.132404,-252.101432,-1455.312812
-1025.328744,-19.211148,23.544873,-120.321138,-383.881726,-1455.312812
-1026.12411,-20.067696,22.871871,-200.53523,28.64789,-1392.287454
-1024.727121,-20.49597,23.606055,-177.616918,34.377468,-1455.312812
-1023.992937,-21.10779,23.789601,-200.53523,103.132404,-1426.664922
-1024.604757,-22.443597,22.933053,-131.780294,-97.402826,-1478.231124
-1026.43002,-21.536064,21.597246,-120.321138,-120.321138,-1426.664922
-1025.940564,-22.810689,22.137687,-154.698606,200.53523,-1409.476188
-1025.8182,-21.536064,21.780792,-131.780294,120.321138,-1426.664922
-1026.001746,-20.434788,20.251242,-114.59156,-85.94367,-1426.664922
-1024.421211,-20.067696,22.504779,-51.566202,-137.509872,-1363.639564
-1026.613566,-18.905238,21.168972,-137.509872,-326.585946,-1392.287454
-1024.482393,-21.046608,24.584967,-103.132404,-229.18312,-1455.312812
-1025.389926,-19.149966,23.055417,-131.780294,-429.71835,-1461.04239
-1023.687027,-20.434788,25.013241,-154.698606,-11.459156,-1409.476188
-1025.634654,-19.639422,23.361327,-183.346496,-103.132404,-1432.3945
-1024.604757,-19.211148,22.994235,-148.969028,63.025358,-1432.3945
-1026.613566,-21.352518,23.055417,-114.59156,-280.749322,-1455.312812
-1026.980658,-22.443597,20.434788,-85.94367,-34.377468,-1478.231124
-1025.145198,-21.291336,20.924244,-148.969028,584.416956,-1346.45083
-1025.328744,-22.137687,21.658428,-114.59156,-532.850754,-1506.879014
-1025.695836,-23.177781,21.658428,-177.616918,97.402826,-1443.853656
-1024.360029,-21.046608,22.086702,-114.59156,-51.566202,-1409.476188
-1024.421211,-21.474882,24.523785,-154.698606,-80.214092,-1415.205766
-1023.809391,-20.312424,24.523785,-200.53523,97.402826,-1363.639564
-1025.267562,-22.086702,23.055417,-252.101432,-177.616918,-1426.664922
-1024.237665,-21.841974,24.340239,-137.509872,-332.315524,-1478.231124
-1024.665939,-19.88415,25.981956,-217.723964,-343.77468,-1443.853656
-1024.176483,-18.844056,23.116599,-154.698606,63.025358,-1415.205766
-1025.145198,-20.863062,22.321233,-194.805652,217.723964,-1380.828298
-1025.328744,-19.027602,23.544873,-148.969028,80.214092,-1415.205766
-1026.552384,-22.02552,23.055417,-120.321138,-131.780294,-1455.312812
-1024.665939,-21.964338,24.401421,-137.509872,315.12679,-1375.09872
-1024.360029,-21.903156,23.361327,-148.969028,-326.585946,-1506.879014
-1025.328744,-23.422509,23.300145,-131.780294,-34.377468,-1489.69028
-1025.8182,-21.230154,22.504779,-211.994386,45.836624,-1380.828298
-1024.482393,-21.291336,23.116599,-131.780294,166.157762,-1415.205766
-1025.084016,-20.679516,23.422509,-166.157762,-177.616918,-1489.69028
-1024.788303,-19.455876,20.557152,11.459156,297.938056,-1363.639564
-1025.451108,-22.198869,23.422509,-211.994386,-17.188734,-1461.04239
-1024.298847,-20.128878,23.544873,-137.509872,-246.371854,-1432.3945
-1024.849485,-19.639422,22.382415,-131.780294,-166.157762,-1380.828298
-1024.849485,-18.721692,21.903156,-137.509872,103.132404,-1409.476188
-1024.604757,-20.924244,26.41023,-120.321138,-446.907084,-1529.797326
-1024.604757,-19.57824,22.086702,-137.509872,80.214092,-1455.312812
-1024.727121,-20.679516,22.443597,-120.321138,-269.290166,-1398.017032
-1024.665939,-20.80188,22.871871,-114.59156,561.498644,-1357.909986
-1024.788303,-22.443597,24.707331,-97.402826,-28.64789,-1443.853656
-1025.51229,-21.780792,21.71961,-154.698606,11.459156,-1478.231124
-1024.961652,-23.116599,23.116599,-97.402826,-229.18312,-1529.797326
-1024.910667,-21.658428,23.667237,-85.94367,-343.77468,-1472.501546
-1025.389926,-21.841974,21.291336,-131.780294,-103.132404,-1461.04239
-1024.176483,-22.810689,23.850783,-148.969028,-246.371854,-1432.3945
-1022.952843,-22.086702,23.667237,-148.969028,-200.53523,-1443.853656
-1025.022834,-21.71961,20.434788,-131.780294,-51.566202,-1443.853656
