accX,accY,accZ,gyroX,gyroY,gyroZ
-10.0032,-0.5731,0.4367,-0.0014,-0.0009,-0.0121
-9.9924,-0.5629,0.4319,-0.0018,-0.0023,-0.0250
-9.9852,-0.5922,0.4367,-0.0015,-0.0020,-0.0269
-9.9954,-0.5940,0.4325,-0.0021,-0.0014,-0.0299
-9.9847,-0.6006,0.4403,-0.0012,-0.0029,-0.0203
-9.9906,-0.5773,0.4313,-0.0015,-0.0002,-0.0137
-9.9900,-0.6006,0.4343,-0.0017,-0.0015,-0.0113
-9.9876,-0.5677,0.4259,-0.0005,-0.0003,-0.0099
-9.9966,-0.5749,0.4259,-0.0023,-0.0027,-0.0273
-9.9858,-0.5964,0.4361,-0.0020,-0.0020,-0.0218
-9.9978,-0.5910,0.4205,-0.0023,-0.0020,-0.0192
-9.9876,-0.5928,0.4397,-0.0011,-0.0015,-0.0206
-9.9835,-0.5916,0.4409,-0.0015,-0.0011,-0.0173
-9.9924,-0.5833,0.4301,-0.0012,-0.0005,-0.0082
-9.9864,-0.5761,0.4367,-0.0014,-0.0026,-0.0182
-9.9966,-0.5743,0.4409,-0.0018,-0.0023,-0.0133
-9.9811,-0.5689,0.4223,-0.0021,-0.0011,-0.0229
-9.9691,-0.5850,0.4331,-0.0017,-0.0021,-0.0197
-9.9960,-0.5617,0.4415,-0.0012,0.0005,-0.0031
-9.9882,-0.5635,0.4295,-0.0020,-0.0021,-0.0179
-9.9960,-0.5689,0.4355,-0.0021,-0.0020,-0.0180
-9.9888,-0.5426,0.4319,-0.0014,-0.0012,-0.0150
-9.9835,-0.5665,0.4343,-0.0020,-0.0018,-0.0237
-10.0014,-0.5850,0.4271,-0.0003,-0.0023,-0.0165
-9.9858,-0.5713,0.4403,-0.0014,-0.0015,-0.0108
-9.9900,-0.5408,0.4343,-0.0012,-0.0017,-0.0240
-9.9823,-0.5827,0.4439,-0.0017,-0.0026,-0.0275
-10.0044,-0.5755,0.4421,-0.0015,-0.0011,-0.0095
-9.9870,-0.5408,0.4247,-0.0017,-0.0017,-0.0217
-9.9852,-0.5779,0.4421,-0.0017,-0.0020,-0.0287
-9.9888,-0.5928,0.4355,-0.0018,-0.0011,-0.0188
